Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
45,0,3,4,3,4,(B)</s>,0,No change
45,1,3,4,3,4,(B)</s>,0,-1
45,2,3,4,3,4,(B)</s>,0,-1
14,0,2,3,2,3,(B)</s>,0,-1
14,1,2,3,2,3,(B)</s>,0,-1
14,2,2,3,2,3,(B)</s>,0,No change
41,0,4,5,4,5,(B)</s>,0,No change
41,1,4,5,4,5,(B)</s>,0,No change
41,2,4,5,4,5,(B)</s>,0,No change
5,0,3,4,3,4,(B)</s>,1,+1
5,1,3,4,3,4,(B)</s>,1,+1
5,2,3,4,3,4,(B)</s>,0,No change
16,0,2,3,2,3,(B)</s>,0,-1
16,1,2,3,2,3,(B)</s>,1,+1
16,2,2,3,2,3,(B)</s>,0,-1
