Variation,Regeneration,Train_input,Train_output,Test_input,Test_output,Full,MCResponse,Response
29,0,0,Blue,0,Blue,(B)</s>,0,Red
29,1,0,Blue,0,Blue,(B)</s>,1,Blue
29,2,0,Blue,0,Blue,(B)</s>,1,Blue
25,0,0,Blue,0,Blue,(B)</s>,0,No change
25,1,0,Blue,0,Blue,(B)</s>,0,No change
25,2,0,Blue,0,Blue,(B)</s>,1,Blue
33,0,0,Blue,0,Blue,(B)</s>,1,Blue
33,1,0,Blue,0,Blue,(B)</s>,0,Green
33,2,0,Blue,0,Blue,(B)</s>,0,No change
31,0,0,Blue,0,Blue,(B)</s>,0,Green
31,1,0,Blue,0,Blue,(B)</s>,0,Green
31,2,0,Blue,0,Blue,(B)</s>,0,No change
26,0,0,Blue,0,Blue,(B)</s>,1,Blue
26,1,0,Blue,0,Blue,(B)</s>,0,No change
26,2,0,Blue,0,Blue,(B)</s>,0,No change
