Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
12,0,4,6,(2),1,Things go up by 2
12,1,4,6,(2),0,Things go down by 2
12,2,4,6,(2),1,Things go up by 2
41,0,4,6,(2),0,Things go down by 2
41,1,4,6,(2),0,Things go down by 2
41,2,4,6,(2),1,Things go up by 2
28,0,3,5,(2),0,Things go down by 2
28,1,3,5,(2),0,Things go down by 2
28,2,3,5,(2),0,Things go down by 2
7,0,3,5,(2),1,Things go up by 2
7,1,3,5,(2),0,Things go down by 2
7,2,3,5,(2),0,Things go down by 2
40,0,4,6,(2),0,Things go down by 2
40,1,4,6,(2),0,Things go down by 2
40,2,4,6,(2),0,Things go down by 2
