Variation,Regeneration,Train_input,Train_output,Full,MCResponse,Response
21,0,3,2,(2),0,Things go up by 1
21,1,3,2,(1),0,Things go up by 1
21,2,3,2,(2),0,Things go up by 1
24,0,4,3,(4),0,Doesn't apply
24,1,4,3,(4),0,Doesn't apply
24,2,4,3,(4),0,Doesn't apply
23,0,5,4,(1),0,Things go up by 1
23,1,5,4,(2),0,Things go up by 1
23,2,5,4,(1),0,Things go up by 1
33,0,4,3,(4),0,Doesn't apply
33,1,4,3,(4),0,Doesn't apply
33,2,4,3,(4),0,Doesn't apply
34,0,3,2,(1),1,Things go down by 1
34,1,3,2,(1),1,Things go down by 1
34,2,3,2,(1),1,Things go down by 1
